close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
31.31,31.88,30.94,31.01,1274000.0,2.0873333333,2.1253333333,2.0626666667,2.0673333333,19110000,0.0,1.0
30.32,30.93,29.85,30.6,863000.0,2.0213333333,2.062,1.99,2.04,12945000,0.0,1.0
31.07,31.42,30.16,30.29,555900.0,2.0713333333,2.0946666667,2.0106666667,2.0193333333,8338500,0.0,1.0
31.6143,32.0,30.72,31.29,998300.0,2.10762,2.1333333333,2.048,2.086,14974500,0.0,1.0
31.38,32.12,31.204,31.96,871300.0,2.092,2.1413333333,2.0802666667,2.1306666667,13069500,0.0,1.0
30.82,31.44,30.5,31.3,984000.0,2.0546666667,2.096,2.0333333333,2.0866666667,14760000,0.0,1.0
31.8399,32.0,30.5901,31.15,908700.0,2.12266,2.1333333333,2.03934,2.0766666667,13630500,0.0,1.0
32.92,33.25,31.84,32.07,1392400.0,2.1946666667,2.2166666667,2.1226666667,2.138,20886000,0.0,1.0
33.0,33.1,31.91,32.8,922500.0,2.2,2.2066666667,2.1273333333,2.1866666667,13837500,0.0,1.0
32.47,33.47,32.286,32.61,963200.0,2.1646666667,2.2313333333,2.1524,2.174,14448000,0.0,1.0
32.13,32.83,31.7,32.6,430300.0,2.142,2.1886666667,2.1133333333,2.1733333333,6454500,0.0,1.0
32.27,32.3,31.62,32.1,495800.0,2.1513333333,2.1533333333,2.108,2.14,7437000,0.0,1.0
32.15,32.66,31.52,32.13,910800.0,2.1433333333,2.1773333333,2.1013333333,2.142,13662000,0.0,1.0
33.23,34.29,31.91,32.0,1525200.0,2.2153333333,2.286,2.1273333333,2.1333333333,22878000,0.0,1.0
33.69,34.0,32.87,33.44,1103400.0,2.246,2.2666666667,2.1913333333,2.2293333333,16551000,0.0,1.0
33.82,34.28,33.01,33.63,1420300.0,2.2546666667,2.2853333333,2.2006666667,2.242,21304500,0.0,1.0
34.62,35.0,33.5,33.89,2085700.0,2.308,2.3333333333,2.2333333333,2.2593333333,31285500,0.0,1.0
33.9,34.8,33.55,34.08,1263300.0,2.26,2.32,2.2366666667,2.272,18949500,0.0,1.0
33.71,34.19,33.58,33.82,661500.0,2.2473333333,2.2793333333,2.2386666667,2.2546666667,9922500,0.0,1.0
33.9,34.8,33.5,33.82,660400.0,2.26,2.32,2.2333333333,2.2546666667,9906000,0.0,1.0
34.17,34.49,33.85,34.3,664400.0,2.278,2.2993333333,2.2566666667,2.2866666667,9966000,0.0,1.0
34.57,34.7999,34.18,34.43,929800.0,2.3046666667,2.3199933333,2.2786666667,2.2953333333,13947000,0.0,1.0
35.28,35.5,34.46,34.6,1572600.0,2.352,2.3666666667,2.2973333333,2.3066666667,23589000,0.0,1.0
35.26,35.8,34.95,35.21,2063800.0,2.3506666667,2.3866666667,2.33,2.3473333333,30957000,0.0,1.0
33.61,35.3,32.75,35.26,2151300.0,2.2406666667,2.3533333333,2.1833333333,2.3506666667,32269500,0.0,1.0
